"question_number","question_id","classification","reason","suggested_subject"
"1","06a71546-9158-4fe8-bc64-b5a1f84f9ce4","DURABLE","BSR code structure and its fixed 50-year anniversary count; answer does not change","banking"
"2","a2d5fb94-dfdd-4b55-9f4b-6de9fa8aa402","PERISHABLE","RBI Annual Report 2022-23 borrowing totals and tenor; per-edition figures",""
"3","464407e5-93ca-4d89-a707-b74f17271000","PERISHABLE","Global Gender Gap Index annual edition; top country changes yearly",""
"4","a86a0030-3ae4-400d-ae2d-a146919e6bea","PERISHABLE","One-off conferral of a foreign civilian honour",""
"5","ba69621f-99ba-442c-9d13-5ae8db01c04d","DURABLE","Town of Export Excellence value thresholds set by Foreign Trade Policy","financial-awareness"
"6","ff2a43cf-19d2-4b71-9e78-815af74a91a9","DURABLE","India-Myanmar-Thailand trilateral highway terminus; fixed project geography",""
"7","3539cfd7-1980-4538-9e4e-651f2e663682","PERISHABLE","NITI Aayog app launched at a dated 2022 visit; product launch",""
"8","c6eb9d90-7e69-422d-918e-478ba00876c7","PERISHABLE","Economic Survey 2022-23 growth projection range; per-edition value",""
"9","d4ce74ef-4c4d-4e3e-834c-5a1e2da5321e","PERISHABLE","First international cruise vessel and route; dated inauguration",""
"10","dc375824-9bd8-42ee-a07b-acdf2ac88636","DURABLE","Full form of TRAI's DCA; fixed definition",""
"11","4dd92204-71ba-458a-9500-48a79bcc87bd","PERISHABLE","CAG re-elected as external auditor; appointment",""
"12","92ec9348-e725-4bc2-86c1-6484d7617e01","DURABLE","Which international forum India is not a member of; membership is stable",""
"13","779435d4-7055-45c5-a488-1f384541c7ce","PERISHABLE","PLI sector performance snapshot; changes each review",""
"14","828f8e49-5f89-434a-8d4c-dce4ada36b90","DURABLE","Common membership of ASEAN and BIMSTEC; stable bloc composition",""
"15","44ce8df3-df4e-43bf-9d39-a821dafa06e6","DURABLE","MPC failure clause: inflation upper threshold and number of quarters","banking"
"16","6001a265-5a4e-4f10-8209-57ab1bf98c83","PERISHABLE","Bank with largest branch increase in FY2022-23; per-year figure",""
"17","b89a3e1c-57bb-4aae-8e2a-0c9e914cf3f9","DURABLE","Base period of the RBI Digital Payment Index; methodology parameter","banking"
"18","a333bbf9-fdbe-4896-9c05-56b42367ffed","DURABLE","RBI public-awareness mascots; fixed","banking"
"19","adaf7230-321a-4eec-b993-97639fcbcb53","DURABLE","e-way bill consignment value threshold under GST rules","financial-awareness"
"20","568ded3d-be7c-40ea-9a7f-158457df1ddf","PERISHABLE","Union Budget 2023-24 interest-free loan corpus; budget-year figure",""
"21","dde30b8f-dfc9-4401-99e4-c2eed0653cd6","PERISHABLE","Bank that launched the FYN portal; product launch",""
"22","cf7c64b7-c5c5-46dc-a84a-43207cef04db","DURABLE","NBFC-UL single counterparty large-exposure limit as % of eligible capital","banking"
"23","d7922705-0b2c-4951-9181-b2d15370bd9c","PERISHABLE","ICAR MoU counterparty; dated agreement",""
"24","18f853c3-ce55-45eb-a81f-be96333dcbe0","PERISHABLE","ECB anniversary tied to a dated celebration",""
"25","e3f0fa96-1e21-4308-8b6b-e29caa3236ce","PERISHABLE","First Indian share to cross Rs 1 lakh; market event",""
"26","6cae56ac-d728-447c-a155-ad062d02e25c","DURABLE","Theme of RBI Payments Vision 2025; fixed document content","banking"
"27","ed85a17d-941f-426c-b997-fbda496d4843","PERISHABLE","Launch of the Antardrishti dashboard; product launch",""
"28","31907b64-c79f-4ceb-882a-88b2a33207f5","DURABLE","Indian Ocean Dipole; fixed climatological definition",""
"29","0f70f032-86ad-4a9d-8dab-dc7c694f6f78","PERISHABLE","NIRF India Rankings 2023; annual ranking",""
"30","d599a55c-74fb-4b0a-a2a5-9cb96c250c38","DURABLE","Risk categories in RBI forex reserve deployment; fixed taxonomy","banking"
"31","c71d1019-cdb5-49bf-a290-8c4934b8ac38","PERISHABLE","AUM composition as of a stated September; per-period figures",""
"32","a5817e98-78ab-4dbd-abb2-27f1e3c22b35","DURABLE","Four pillars of Foreign Trade Policy 2023; policy design","financial-awareness"
"33","779e152e-0400-4c63-8a9b-8d474c4407fc","DURABLE","Total Expense Ratio denominator under SEBI Mutual Funds Regulations","capital-market"
"34","92d4dab5-29a2-4ea2-a544-a105d8dcc623","PERISHABLE","Highest share in household savings 2022-23; per-year composition",""
"35","3224fa53-8136-48dc-adbd-43fa99bba0f1","DURABLE","CBDC pilot design facts; fixed","banking"
"36","66d95685-ad8f-4372-b481-9a41bc8d2f51","PERISHABLE","Small savings rate for a named quarter; reset quarterly",""
"37","07ec5f4f-506f-49a4-b325-850d1aea8ef9","DURABLE","Expansion of the MAVEN acronym; fixed",""
"38","fb85f00d-5fa9-4fe8-aaaa-239e35d338f7","DURABLE","Parties to the Atlantic Declaration; fixed bilateral instrument",""
"39","ee1c526a-1da6-4de1-9686-7a8e5e37adde","DURABLE","Minimum Net Owned Fund for housing finance companies","banking"
"40","646fe96f-61b0-4645-b460-b210d2f97da5","PERISHABLE","Chair of B20 under India's G20 presidency; appointment",""
"41","920648ed-bb31-4e77-bada-88659f9bd8ad","DURABLE","Ministries converged under the cooperative grain storage plan; scheme design","financial-awareness"
"42","bd3d649a-e201-4113-8b56-ac6b79022eb0","DURABLE","RBI default loss guarantee (DLG) guideline provisions","banking"
"43","a4b2c61b-cfa6-4096-8bb2-a27bbab9016e","PERISHABLE","RBI Annual Report finding on transmission; per-edition observation",""
"44","70ec8b68-f75d-4f26-96e9-f91436d03b9a","PERISHABLE","Survey of Professional Forecasters GDP projections; per-round values",""
"45","740ab0f8-3705-49a3-a375-46e52682be94","PERISHABLE","Which assembly term ends by a stated month; election-cycle fact",""
"46","c3f3f398-3537-4897-83f9-208043670daa","DURABLE","Base year of the NHB RESIDEX housing price index; methodology parameter","banking"
"47","f325058f-1c5e-435d-9c74-ed805923ebaf","DURABLE","Urban schemes launched in 2015; fixed launch years","financial-awareness"
"48","c8a89a5b-7f4f-4290-b18d-fd44672489cf","DURABLE","SEBI UPSI definition and LODR Regulation 30 material events","capital-market"
"49","a728015a-edac-4246-8609-3e4890ca001a","PERISHABLE","Award recognition news; award winner",""
"50","39f753a0-722b-4749-9679-9bbf0a5107cc","PERISHABLE","2023 Malaysia Masters tournament category; sports edition",""
"51","0229dee0-40e9-4af5-a6e6-1e7bb4ec1a4a","PERISHABLE","Top states in the State Food Safety Index; annual ranking",""
"52","fa8af60b-8e86-4400-8911-ac2d56ecc684","PERISHABLE","Agriculture share of GVA in 2022-23; per-year statistic",""
"53","e62ee044-1c93-40af-b4cd-d1926efcec11","PERISHABLE","Top services-export contributor for a stated period; per-period statistic",""
"54","ece24678-98ac-427f-9044-df2546c45e65","PERISHABLE","Top FDI source countries; changes yearly",""
"55","89def589-836a-4d4d-9933-9081ec2cea5f","PERISHABLE","Twenty Point Programme completion percentage; per-report figure",""
"56","13a60b17-c78d-4d04-8eb8-cddd11a4165d","DURABLE","Sovereign Gold Bond scheme design features","capital-market"
"57","cc8b82f4-0a2e-4ce5-a071-4278b0bb21cb","DURABLE","Institution whose foundation day falls on 1 July; fixed","banking"
"58","4e97483b-787b-4b3d-b50f-c6ea37dd26b0","PERISHABLE","US rejoining a UN body; dated diplomatic event",""
"59","8465c7fd-8cfe-4b7f-a3a7-4d51b2fe9653","DURABLE","Numerical value of a petaflop; fixed definition",""
"60","fc688826-eec8-4593-9f75-90a67a191e68","DURABLE","Alloy composition of the Rs 75 commemorative coin; fixed coinage fact","banking"
"61","72b60dc6-6ac5-4560-9869-1bbbcb48bb92","PERISHABLE","NPS monthly subscription figures from a survey edition; per-year value",""
"62","8a06af86-118d-4089-af14-20f64728ddd7","DURABLE","Overseas custodians of RBI gold; stable custodial arrangement","banking"
