"question_number","question_id","classification","reason","suggested_subject"
"1","b7108e45-936d-4893-870f-624e6e2bef72","PERISHABLE","Economic Survey crop-state pairing; per-edition data",""
"2","df958959-d249-42ea-81c0-7f0b24db6d71","PERISHABLE","Developer of a named AI platform; product launch",""
"3","1cd7dcac-dae6-4539-87d1-57333a5f7193","DURABLE","Mountain peaks by country; fixed geography",""
"4","a4679a2f-94e7-4caf-adc8-c709420959c4","PERISHABLE","SDGs covered by a dated GoI-WFP collaboration",""
"5","d7989933-1358-4c7d-bd31-13187372961d","DURABLE","Countries with more than one capital; fixed",""
"6","01e9246e-c036-493d-8981-9d4739dcdb35","DURABLE","Frequency of a named multilateral naval exercise; fixed cadence",""
"7","c2ec4fae-6110-4573-ac56-3821d770401c","DURABLE","Target group of the NCFE adult financial education programme","financial-awareness"
"8","65139476-3941-422f-99a9-0f46bd22a325","PERISHABLE","QS World University Rankings 2026 top Indian entrant; annual ranking",""
"9","619759c6-e9ee-425b-bf4c-7305035fe1f9","DURABLE","GST rate-slab placement of named items; rate schedule","financial-awareness"
"10","dfd8376e-b493-4685-9978-9cd0c56a6655","PERISHABLE","Head of a scientific body as of a stated year; appointment",""
"11","17855327-6e9c-44e3-8000-3a19ee8f3519","DURABLE","Urban cooperative bank tier-wise housing loan ceilings","banking"
"12","a563bf34-cab2-4001-aeb0-245426a3a1a6","DURABLE","EFTA membership; stable bloc composition",""
"13","129a6ae1-1ede-4f52-847a-e0ab53efb929","DURABLE","Institution that conducts the All-India Debt and Investment Survey","financial-awareness"
"14","924f659f-a4d9-4819-afac-6cd769e417b7","PERISHABLE","Date of an international observance day",""
"15","8394cecb-162c-40a6-a338-f78884177bc1","DURABLE","Regulator of venture capital funds in India","capital-market"
"16","34547acf-12eb-44c4-abb5-9174c085435d","DURABLE","UPI 24-hour aggregate limit for capital market transactions","banking"
"17","99e371db-149a-4cdf-81f3-d853748e0d60","DURABLE","Headquarters of the Geological Survey of India; fixed",""
"18","261b501a-3b31-42cd-8642-7e5658dbec87","PERISHABLE","Banks partnering with a carbon accounting body; dated tie-up",""
"19","bf87a311-73c2-40f8-9b01-70dc6c4249ea","PERISHABLE","Portfolios held by a named minister; appointments",""
"20","7495cfb4-9663-49a4-99a7-2d0b9e555b7a","PERISHABLE","Campaign launched in a stated month; product launch",""
"21","91c8e0da-0f3d-42c8-890b-6b68fe32250b","DURABLE","Minimum credit rating for an NBFC-D to accept public deposits","banking"
"22","3f519bc3-a2a0-4f94-b6dc-211e29911ee5","DURABLE","Programmes under the skill development umbrella; scheme design","financial-awareness"
"23","8f9e55f9-5f75-4838-bb62-891a601437ec","DURABLE","Bank category for which new licences were discontinued from 2004","banking"
"24","308cffed-e8b3-4dd3-8b93-4a8642a6d792","DURABLE","Minimum margin under the Differential Rate of Interest scheme","banking"
"25","c391d9ef-8630-4643-84a1-83f3db790666","DURABLE","Minimum net worth for an NBFC-MFI","banking"
"26","3d598a6c-7449-42fa-863b-2bad65abae03","PERISHABLE","Head of a space agency and its headquarters; appointment",""
"27","363e032b-722a-4211-b81a-91a1729e1a25","DURABLE","Entities empowered to enforce security interests under SARFAESI","banking"
"28","5522f400-2925-48cf-bbcc-588e713fac1b","PERISHABLE","Funder of a named clean energy facility; dated approval",""
"29","308ef4be-d09b-42c0-970e-0cf7baea5fcd","DURABLE","Minimum net worth for payment aggregator registration","banking"
"30","7b50ed9a-79a9-4723-b307-188c86c6ef1b","DURABLE","Enhanced per-transaction UPI limit for specified categories","banking"
"31","da740899-0bcf-41c2-9c3c-a4cdf027d473","DURABLE","Kharif forage crops; fixed agronomy",""
"32","ac021134-3d01-4a54-95b6-5bcf930f62e3","DURABLE","Planet with the largest volcano; fixed",""
"33","22de39f7-55a9-4303-a94a-b70b5b2456b5","PERISHABLE","Date of an international observance day",""
"34","5896bb1b-4f1b-4b85-93cb-f8b7e0753f25","PERISHABLE","Service count under a charter after a dated update; changes on revision",""
"35","6e5c838c-4818-43cc-b3d2-356c7a87bde9","PERISHABLE","Daily capital market turnover in a stated year; per-year statistic",""
"36","9606ad52-7f77-4113-a731-4a0cc675f0c3","DURABLE","State associated with a GI-tagged craft; fixed",""
"37","2a3e0fa5-a303-437d-8dbc-3495a3d1b808","PERISHABLE","Theme of an observance day for a stated year",""
"38","430386e5-b4a7-448d-bc03-958e27df17c1","DURABLE","Historical reason for a conferred title; fixed",""
"39","5ed0efe5-278c-49ee-896a-27af0c7de69c","PERISHABLE","Winner of a chess tournament; sports result",""
"40","068ac1e8-bab9-4a16-aa19-3f255dde38ab","PERISHABLE","Sovereign rating action by a named agency; dated event",""
"41","e208a9fa-790f-48b7-8039-3db1372c6662","DURABLE","Balance above which banks may set differential savings rates","banking"
"42","35b8579a-a850-4859-8cd4-5e0c9bbc3429","DURABLE","Entities to which Basel III capital and provisioning norms apply","banking"
"43","28dca866-0234-4caf-803c-9ae5fb8348c4","DURABLE","Parameters excluded from the Quality dimension of the FI-Index; methodology","banking"
"44","b690d07e-4fcf-49ed-babf-1de0fa149b7e","DURABLE","First Indian Pulitzer laureate; fixed historical fact",""
"45","78e01d61-48df-48b0-aed6-bdeb5830e5d3","DURABLE","Small Finance Bank eligibility and capital requirements","banking"
"46","21fc1dee-890e-453b-be65-1c58efbc56ed","PERISHABLE","Count of Maharatna CPSEs as of a stated year; changes with conferrals",""
"47","459e3f57-9caa-400f-bb22-9bebcb79999d","DURABLE","Country ranking by land area; fixed geography",""
"48","323d182a-1639-4a16-a640-28b2d8cc2934","PERISHABLE","First fintech to operationalise a retail CBDC wallet; product launch",""
"49","fdd2c284-61f6-45bb-a90e-d516f6cccffb","DURABLE","Basic Savings Bank Deposit Account features and restrictions","banking"
"50","c46e52a6-5364-45c1-b5e5-a913a0733f36","DURABLE","Number of strategic pillars in the RBI FREE-AI framework","banking"
"51","489185ed-ce45-4b98-a13d-e7c16aac301a","PERISHABLE","IMD World Competitiveness Ranking 2025; annual ranking",""
"52","930e47fd-cd36-4608-bf65-9f276c7e78ce","PERISHABLE","Name of a newly inaugurated naval base; dated event",""
"53","d85e6f2f-d72a-4ec7-a0b0-eb50baa1dc99","DURABLE","Expansion of the AERB acronym; fixed",""
"54","a4a8360a-3d89-4e01-ae18-7942167191f9","PERISHABLE","Industry body president for a stated term; appointment",""
"55","d4eb19f3-b01e-43a9-8914-8b18eb6b75f7","DURABLE","Commissioning year of a named aircraft; fixed historical fact",""
"56","b59c62bf-e5d7-496f-b9ca-a06dba55d2b8","DURABLE","Year the Planning Commission was replaced by NITI Aayog; institutional history","economics"
"57","8cc66305-2aa4-4cc7-8028-3337646bb664","DURABLE","Nobel category added in 1968; fixed",""
"58","452f1e81-c5d2-47c4-8d36-f8cc3863bb00","DURABLE","Qualitative versus quantitative monetary policy tools; fixed taxonomy","economics"
"59","76d56717-5b7e-4806-bc23-4e6be92f4da2","DURABLE","Constitutional deadline for filling a Vice-Presidential vacancy",""
"60","1776f819-be8f-4bd8-9ee7-7fee01f72a3b","DURABLE","Expansion of the S3WaaS acronym; fixed",""
"61","316601a9-1e15-4476-8732-580f584827c4","DURABLE","RBI data sets published on a daily basis; fixed publication practice","banking"
