"question_number","question_id","classification","reason","suggested_subject"
"1","000f179a-e88b-438d-98e6-da4f64fe66e3","DURABLE","PMAY-U 2.0 assistance quantum; scheme parameter","financial-awareness"
"2","c03cf54f-6f27-4e8e-a958-f11435df69ef","DURABLE","PMMY Tarun category loan ceiling; scheme threshold","banking"
"3","1eac5e45-a56c-4514-bdc4-c2d64bc5b156","DURABLE","De-penalisation threshold for small movable foreign assets; statutory threshold","financial-awareness"
"4","e68ee927-612c-4717-b89b-4d1628d8897c","DURABLE","NPS partial withdrawal percentage after three years; scheme rule","pension-sector"
"5","09bdd252-7913-4235-a3ad-f204400ce21a","DURABLE","TReDS mandatory onboarding turnover threshold","banking"
"6","ff22c6f5-286f-4ab9-97e2-aedf24118a15","PERISHABLE","Top-achieving ministry in a stated financial year; per-year ranking",""
"7","206667d0-5750-4ee4-ae1b-80e027ebd0de","PERISHABLE","DAY-NRLM initiative launch; product launch",""
"8","8723cf3a-e4af-413c-866f-ee2e9fdf3f2d","DURABLE","Self Reliant India Fund government/private contribution split; fund design","financial-awareness"
"9","21a031cf-d598-43d6-9700-906c616ff60f","PERISHABLE","MSME share of exports in a stated financial year; per-year statistic",""
"10","3a9d6660-e922-4bc5-b390-dac5b922a38f","DURABLE","Single-window environment clearance portal launched in 2018; fixed","financial-awareness"
"11","8b842231-525d-4bfa-84d7-4b939eae8f85","DURABLE","PMKSY cold-chain grant-in-aid ceiling per project; scheme parameter","financial-awareness"
"12","a7298c3c-5b54-4c3c-9a6b-610180a97137","DURABLE","Crops covered by the Price Support Scheme under PM-AASHA","financial-awareness"
"13","07fe7881-ce89-4636-8d7b-70dabff148f2","DURABLE","PM-PRANAM incentive as a share of fertiliser subsidy saved","financial-awareness"
"14","1883318d-a7ac-411b-aeaa-534b54780c7a","PERISHABLE","Ministry budget allocation for a stated year; budget-year figure",""
"15","6c6fabd9-b2b5-403b-8d72-3f5cfb7cdb7e","DURABLE","UPI transaction limit for tax payments; regulatory limit","banking"
"16","d37da05c-2330-413d-aad0-cb8457ad536c","PERISHABLE","Index weight cap reached by a stated date; dated inclusion schedule",""
"17","e2563c71-a97c-4aeb-8a14-ea9407a8b9a4","PERISHABLE","FI-Index dimension contribution for March 2024; per-year index reading",""
"18","c3b184d4-7376-4b01-b27d-d13ae73fff6a","DURABLE","Taxes subsumed under GST; fixed statutory design","financial-awareness"
"19","38c4bde8-2363-4753-b7b0-de9f4fffc5f7","DURABLE","Parameter with the highest weight in the RBI Digital Payments Index","banking"
"20","e04c9562-3075-4c29-9562-143eb186c86f","DURABLE","Basic Service Demat Account eligibility value ceiling","capital-market"
"21","3c8aefb0-6b1c-4917-86c6-8119831e00ac","PERISHABLE","Bank partnering with a TReDS platform; dated tie-up",""
"22","25bf3b60-a3f7-4fd5-b440-799f15c4fa54","DURABLE","Cumulative repo rate increase May 2022-Feb 2023; fixed historical total","banking"
"23","aa7f15a2-756d-4e3b-84f4-a446c59cd7ea","DURABLE","Asset-size criterion for Internal Ombudsman appointment by NBFCs-ND","banking"
"24","b64a8b53-b990-4039-9de8-4c09f8451bd9","DURABLE","Years of inoperation before transfer to the DEA Fund","banking"
"25","4fc90b0f-6ed7-4354-9010-ad78c0d78f6e","DURABLE","Maximum deposit tenure for HFCs after NBFC harmonisation","banking"
"26","fe284090-9d9a-4778-b5d7-8077b79b8919","DURABLE","Bulk deposit threshold for Local Area Banks","banking"
"27","b2a52ab0-82ae-4a9f-8dab-c2236aade5b9","DURABLE","Security tenure excluded from the Fully Accessible Route","banking"
"28","9c570193-9a1e-4cbd-b7b3-681465a46cc8","DURABLE","Eligibility criteria for SFB transition to universal bank","banking"
"29","75a85026-bcd3-4129-af8e-f18aa5c654c8","DURABLE","Eligibility criteria under the RBI SRO framework for FinTech","banking"
"30","5c3e362e-0dba-4003-958b-ceadce1d9318","DURABLE","Sector for which CRAR risk weight was enhanced; regulatory change","banking"
"31","896c2b31-f466-409b-b800-641be3efc1f0","DURABLE","IFSCA mandate and remit; institutional design","capital-market"
"32","fbb7d25c-0b56-4599-b422-c45b381efb42","DURABLE","Stated outcomes of rising digital payments; conceptual, not a datapoint","banking"
"33","e0dd0b78-f9d6-405e-87ea-9b10832a9650","DURABLE","INFINET membership and the applications it carries","banking"
"34","bd0aaed2-51ee-40bb-934c-4143bf4f79f9","DURABLE","Borrowing formats available to States from the RBI","banking"
"35","feb37eb8-99d5-4dfa-aa89-74c58233eafe","DURABLE","AIFI deposits excluded from priority sector lending computation","banking"
"36","8db74694-48dd-4f21-84a8-e02c0da21137","DURABLE","Entity supervised by the RBI Department of Regulation","banking"
"37","da7110b3-e6c4-4818-a774-82aaf5d16e42","DURABLE","Committee-to-year matching; fixed institutional history","banking"
"38","55094ce0-40a8-4990-9eaf-03ffc2186a32","DURABLE","Minimum net worth for SEBI recognition as IAASB/RAASB","capital-market"
"39","cbf8c8e6-eb92-4b50-bcb5-17d4206cf7b6","DURABLE","Income-tax section granting relief on ZCZP bonds","capital-market"
"40","7fb6efd1-134f-4c24-8dc9-ca288daeb7b2","DURABLE","Which instrument is not a monetary policy tool; fixed taxonomy","economics"
"41","798d40be-1be7-4acf-8f24-875065255b8c","PERISHABLE","Regulatory penalty on a named entity; dated enforcement action",""
"42","639680ba-7e80-4f08-a577-ecd031b9f062","DURABLE","Years the Banking and Digital Transactions Ombudsman schemes were notified","banking"
"43","4f04deeb-e43b-4ab1-aa7a-b598d75d3e61","PERISHABLE","Problem statements of a specific hackathon edition",""
"44","1af91cef-9299-4846-8359-82d9dc8c63d2","DURABLE","Loan-size cap for using a named rating agency's ratings","banking"
"45","0cb19ff4-2eaf-4191-b2a9-ad0ce688bd37","DURABLE","Feature set of floating rate savings bonds; instrument design","capital-market"
"46","b61bbbac-da6c-4286-a75f-5a618ca7fd9d","DURABLE","SEBI minimum investment size for bonds; regulatory threshold","capital-market"
"47","4a6c88b5-3ae7-4594-84b6-690a3aa7dfb7","DURABLE","Establishment years of DRT, SARFAESI, IBC and NARCL; fixed history","banking"
"48","043697de-6bf4-4c94-b702-b6da06187ec2","DURABLE","Sovereign Gold Bond premature redemption window","capital-market"
"49","08524ce8-d0a8-47a9-92c0-7f4655ae1e74","PERISHABLE","Nationality of a newly appointed NATO Secretary-General; appointment",""
"50","0b8b22ff-925a-4d0f-9519-e7897fad65a4","PERISHABLE","UNFCCC troika composition; rotates each COP",""
