"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes","assign_topic_id","difficulty","stimulus_preview"
"question","04ffc54a-812b-4c61-b25c-1f908ede131f","2026","1","The Digital Public Infrastructure (DPI) model has become important in governance because it allows governments to deliver digital services a","no_primary_tag","flagged","","","","",""
"question","2f2031eb-b068-4189-9c44-8520a689b3e9","2026","2","As of May 2026, which of the following countries is a current member of the Organization of the Petroleum Exporting Countries (OPEC)?","no_primary_tag","flagged","","","","",""
"question","ef3abb4d-658b-48b1-af7e-d8f6b0bfd75d","2026","3","India signed a Comprehensive Economic Partnership Agreement (CEPA) in December 2025 with which of the following country?","no_primary_tag","flagged","","","","",""
"question","de1fe05f-4db9-4e7d-b736-bc661891ccd3","2026","4","On May 18, 2026, Prime Minister Narendra Modi was conferred the prestigious Grand Cross of the Royal Norwegian Order of Merit by His Majesty","no_primary_tag","flagged","","","","",""
"question","6b0f11cc-917a-4b79-a528-d7d31821cf55","2026","5","In India, Goods and Services Tax (GST) Day is observed every year on which date?","no_primary_tag","flagged","","","","",""
"question","9d688c8e-f58d-4519-9d70-63bbf51e5eb6","2026","6","The International Day of Yoga is observed every year to promote the physical, mental and spiritual benefits of yoga. On which date is it cel","no_primary_tag","flagged","","","","",""
"question","2022e57d-54e8-48b3-a1ca-9a6ae593ef20","2026","7","Which Indian cricketer became the co-owner of Dublin Guardians, a team in the European T20 Premier League (ETPL)?","no_primary_tag","flagged","","","","",""
"question","91a65ba0-669c-4fbe-a590-bbb544b1b0ac","2026","8","Vijay Ghat in New Delhi is the memorial associated with which Indian personality?","no_primary_tag","flagged","","","","",""
"question","b1b9849f-bd96-4cc0-a1ec-47a8ba1c769a","2026","9","The term Brexit in context of United Kingdom refers to which of the following?","no_primary_tag","flagged","","","","",""
"question","4a0e3cc6-8e0b-42ea-a182-4b0a4761a47f","2026","10","With reference to the selection process of the Padma Awards, consider the following statements: 1. It is one of the highest civilian awards ","no_primary_tag","flagged","","","","",""
"question","567adce5-89df-4dc8-8e92-f2716b321b54","2026","11","Which of the following countries is not a member of the Commonwealth of Nations?","no_primary_tag","flagged","","","","",""
"question","d5975b37-c0aa-4532-9030-178ce9bc6a3e","2026","12","Which of the following is not a department under the Ministry of Agriculture and Farmers Welfare?","no_primary_tag","flagged","","","","",""
"question","e0785b24-5a22-4270-903f-29bf8ca8ce88","2026","13","In the history of Indian coinage after Independence, what does the term “Frozen Series” refer to?","non_ascii_suspect;no_primary_tag","flagged","","","","",""
"question","db8e599f-e6a6-4020-85db-ce46a0258cf9","2026","14","Indian Railways launched CHIRAG to strengthen Human Resource systems through information technology, research, analytics and governance supp","no_primary_tag","flagged","","","","",""
"question","74e8eb73-feda-431e-ae1e-d817ecc2f3bc","2026","15","Match the following financial organisations with their correct roles: List I: Organisation List II: Role 1. SIDBI a. Financing and facilitat","non_ascii_suspect;no_primary_tag","flagged","","","","",""
"question","df98d6c3-307d-42d2-9d88-9fc3cba2b14f","2026","16","Which of the following is an Artificial Intelligence-powered e-commerce chatbot that helps users search for products, compare options, and c","no_primary_tag","flagged","","","","",""
"question","29e05594-470e-4f38-87df-2db9ad5bf3b8","2026","17","Which of the following are the strategic pillars of the Reserve Bank of India’s Utkarsh 2029 strategy framework?","non_ascii_suspect;no_primary_tag","flagged","","","","",""
"question","16ebb855-d630-4b16-aa86-160abcbb225f","2026","18","Which among the following statement is not true regarding the Mughal Empire.","no_primary_tag","flagged","","","","",""
"question","f3891a94-4292-4271-8cd8-098f2d7c9347","2026","19","Where is the ICC Women’s T20 World Cup 2026 being held?","non_ascii_suspect;no_primary_tag","flagged","","","","",""
"question","c6f4a179-832d-4d00-8e21-d3851ae27ee5","2026","20","With reference to Census 2027, consider the following statements: 1. The second phase of the census will work on caste based Population Enum","no_primary_tag","flagged","","","","",""
"question","687061dd-0502-4743-90c1-808b215ebbbe","2026","21","Which ancient Indian text is primarily related to economics, polity, administration and statecraft?","no_primary_tag","flagged","","","","",""
"question","fba8b074-a1ac-4ac1-ac0b-ae4423d6e9b0","2026","22","Which bank was awarded the National Award for Outstanding Performance in Self- Help Group (SHG)-Bank Linkage 2024–25?","non_ascii_suspect;no_primary_tag","flagged","","","","",""
