"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes","assign_topic_id","difficulty","stimulus_preview"
"question","b7108e45-936d-4893-870f-624e6e2bef72","2025","1","According to the Economic Survey, which of the following crop-leading producing state pairs is correctly matched?","no_primary_tag","flagged","","","","",""
"question","df958959-d249-42ea-81c0-7f0b24db6d71","2025","2","Which company developed the “Nano Banana” AI platform?","non_ascii_suspect;no_primary_tag","flagged","","","","",""
"question","1cd7dcac-dae6-4539-87d1-57333a5f7193","2025","3","Four out of these mountain peaks exist in the same nation. Identify odd one out.","no_primary_tag","flagged","","","","",""
"question","a4679a2f-94e7-4caf-adc8-c709420959c4","2025","4","The Government of India and the World Food Programme (WFP) have announced a collaboration aimed at addressing the global hunger crisis. Whic","no_primary_tag","flagged","","","","",""
"question","d7989933-1358-4c7d-bd31-13187372961d","2025","5","Which of the following countries have more than one capital city? 1. South Africa 2. Bolivia 3. Sri Lanka 4. Paraguay 5. Mexico","no_primary_tag","flagged","","","","",""
"question","01e9246e-c036-493d-8981-9d4739dcdb35","2025","6","What is the frequency of the Sea Dragon Exercise, a multilateral anti-submarine warfare drill?","no_primary_tag","flagged","","","","",""
"question","c2ec4fae-6110-4573-ac56-3821d770401c","2025","7","The Financial Education Programme for Adults (FEPA) launched by the National Centre for Financial Education (NCFE) aims to spread financial ","no_primary_tag","flagged","","","","",""
"question","65139476-3941-422f-99a9-0f46bd22a325","2025","8","Which Indian institution achieved the top ranking among Indian universities in the QS World University Rankings 2026?","no_primary_tag","flagged","","","","",""
"question","619759c6-e9ee-425b-bf4c-7305035fe1f9","2025","9","Under the revised GST structure effective from 22 September 2025, which of the following pre‑packaged and labelled items has been moved to t","non_ascii_suspect;no_primary_tag","flagged","","","","",""
"question","dfd8376e-b493-4685-9978-9cd0c56a6655","2025","10","Who is the Director General of the Indian Council of Medical Research (ICMR)? (As of 2025)","no_primary_tag","flagged","","","","",""
"question","17855327-6e9c-44e3-8000-3a19ee8f3519","2025","11","Which of the following option correctly matches Urban cooperative bank tier with housing loan limit that can be granted?","no_primary_tag","flagged","","","","",""
"question","a563bf34-cab2-4001-aeb0-245426a3a1a6","2025","12","Which of the following countries are members of the European Free Trade Association (EFTA)?","no_primary_tag","flagged","","","","",""
"question","129a6ae1-1ede-4f52-847a-e0ab53efb929","2025","13","The All-India Debt and Investment Survey (AIDIS), which collects detailed data on the assets, liabilities, and capital expenditures of India","no_primary_tag","flagged","","","","",""
"question","924f659f-a4d9-4819-afac-6cd769e417b7","2025","14","World Mental Health Day is observed every year on which date?","no_primary_tag","flagged","","","","",""
"question","8394cecb-162c-40a6-a338-f78884177bc1","2025","15","Which regulatory authority governs Venture Capital Funds (VCFs) in India?","no_primary_tag","flagged","","","","",""
"question","34547acf-12eb-44c4-abb5-9174c085435d","2025","16","What is the aggregate 24‑hour transaction limit prescribed for UPI payments made towards stock market and related capital market transaction","non_ascii_suspect;no_primary_tag","flagged","","","","",""
