id | paper_code | year | count
5ae048d7-6c83-4772-b2b5-4a2d3da6d6d4 | NABARD-P1-ENGLISH-2020 | 2020 | 40
01ef4b50-2114-4bd7-b3b6-066084bcc7cc | NABARD-P1-ENGLISH-2021 | 2021 | 30
da966003-72c0-4d88-9719-ea7473cfea61 | NABARD-P1-ENGLISH-2022-EVENING | 2022 | 30
d337ac57-59f3-467b-95c9-7379c223bd0b | NABARD-P1-ENGLISH-2022-MORNING | 2022 | 30
886a6f5f-6bf1-407b-9a2f-66fc8c1a72bd | NABARD-P1-ENGLISH-2023 | 2023 | 30
92a2c6a8-ae94-4ee6-96ba-4bdb0d0ac990 | NABARD-P1-QUANTITATIVE-APTITUDE-2020 | 2020 | 20
45cfe95f-1fa0-42ab-bfe7-47f67d86af9b | NABARD-P1-QUANTITATIVE-APTITUDE-2021 | 2021 | 20
eb45ed17-4461-41df-85b6-aaae0d965c92 | NABARD-P1-QUANTITATIVE-APTITUDE-2022-EVENING | 2022 | 20
85e16bb8-514a-4457-99b4-a1de23b91095 | NABARD-P1-QUANTITATIVE-APTITUDE-2022-MORNING | 2022 | 20
38b2d867-9679-4637-8b31-c7853f076711 | NABARD-P1-QUANTITATIVE-APTITUDE-2023 | 2023 | 20
4c61d619-18e4-4f78-98bf-09bfe18e5ddd | NABARD-P1-REASONING-2020 | 2020 | 20
9afd97c9-7723-4651-ba17-7cfb3fad2b05 | NABARD-P1-REASONING-2021 | 2021 | 20
5d4d7811-1650-4586-a082-ca4d95d047d1 | NABARD-P1-REASONING-2022-EVENING | 2022 | 20
250d4f40-9586-4dc0-997c-eebd7ab3d37a | NABARD-P1-REASONING-2022-MORNING | 2022 | 20
18afe5f5-e891-4d20-bc57-3f46a2746fe9 | NABARD-P1-REASONING-2023 | 2023 | 20
(15 rows)
